game_key_suffix,season,game_date_et,away,home,away_final,home_final,close_total,close_home_spread,ml_away,ml_home,source_url
sbr:2013-14:2013-10-29:CHI:MIA,2013-14,2013-10-29,CHI,MIA,95,107,188.5,-5.0,180,-220,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-29:LAC:LAL,2013-14,2013-10-29,LAC,LAL,103,116,202.5,9.5,-575,435,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-29:ORL:IND,2013-14,2013-10-29,ORL,IND,87,97,188.5,-12.0,675,-1025,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-30:ATL:DAL,2013-14,2013-10-30,ATL,DAL,109,118,196.0,-6.0,205,-245,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-30:BKN:CLE,2013-14,2013-10-30,BKN,CLE,94,98,194.0,3.0,-155,135,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-30:BOS:TOR,2013-14,2013-10-30,BOS,TOR,87,93,189.5,-8.0,305,-385,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-30:CHA:HOU,2013-14,2013-10-30,CHA,HOU,83,96,200.0,-13.0,1030,-1630,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-30:LAL:GSW,2013-14,2013-10-30,LAL,GSW,94,125,206.0,-12.5,690,-1090,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-30:MEM:SAS,2013-14,2013-10-30,MEM,SAS,94,101,189.0,-6.0,210,-250,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-30:MIA:PHI,2013-14,2013-10-30,MIA,PHI,110,114,195.0,9.5,-795,495,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-30:MIL:NYK,2013-14,2013-10-30,MIL,NYK,83,90,196.5,-8.0,290,-360,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-30:OKC:UTA,2013-14,2013-10-30,OKC,UTA,101,98,191.5,6.5,-275,225,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-30:POR:PHX,2013-14,2013-10-30,POR,PHX,91,104,197.5,5.5,-215,180,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-30:WAS:DET,2013-14,2013-10-30,WAS,DET,102,113,189.0,-2.5,120,-140,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-31:GSW:LAC,2013-14,2013-10-31,GSW,LAC,115,126,205.5,-6.0,210,-250,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-10-31:NYK:CHI,2013-14,2013-10-31,NYK,CHI,81,82,188.0,-7.5,290,-350,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-11-01:CLE:CHA,2013-14,2013-11-01,CLE,CHA,84,90,188.0,3.5,-165,145,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
sbr:2013-14:2013-11-01:DAL:HOU,2013-14,2013-11-01,DAL,HOU,105,113,207.0,-6.5,230,-280,https://www.sportsbookreviewsonline.com/scoresoddsarchives/nba-odds-2013-14
