team_id,abbrev,full_name
1,NJD,New Jersey Devils
2,NYI,New York Islanders
3,NYR,New York Rangers
4,PHI,Philadelphia Flyers
5,PIT,Pittsburgh Penguins
6,BOS,Boston Bruins
7,BUF,Buffalo Sabres
8,MTL,Montréal Canadiens
9,OTT,Ottawa Senators
10,TOR,Toronto Maple Leafs
12,CAR,Carolina Hurricanes
13,FLA,Florida Panthers
14,TBL,Tampa Bay Lightning
15,WSH,Washington Capitals
16,CHI,Chicago Blackhawks
17,DET,Detroit Red Wings
18,NSH,Nashville Predators
19,STL,St. Louis Blues
20,CGY,Calgary Flames
21,COL,Colorado Avalanche
22,EDM,Edmonton Oilers
23,VAN,Vancouver Canucks
24,ANA,Anaheim Ducks
25,DAL,Dallas Stars
26,LAK,Los Angeles Kings
28,SJS,San Jose Sharks
29,CBJ,Columbus Blue Jackets
30,MIN,Minnesota Wild
52,WPG,Winnipeg Jets
54,VGK,Vegas Golden Knights
55,SEA,Seattle Kraken
68,UTA,Utah Mammoth
